"TOTAL_AREA","PID","CITY_CODE","PROP_NAME","SITUS","CITY_SITUS","ZIP_SITUS","county","latitude","longitude","location_type","good","building_type"
"292235135402020","251","ORL","ORLANDO CITY HALL","400 S ORANGE AVE","ORLANDO","32801","","28.537458419799805","-81.37959289550781","ROOFTOP","1","commercial"
"292235156003020","248","ORL","ORMC PARKING GARAGE","88 W COPELAND DR","ORLANDO","32806","","28.52568244934082","-81.3790054321289","ROOFTOP","1","commercial"
"292226124101001","247","ORL","SHERATON ORLANDO DOWNTOWN HOTEL","400 W LIVINGSTON ST","ORLANDO","32801","","28.547073364257812","-81.38408660888672","ROOFTOP","1","commercial"
"272222000000037","247","WG","WINTER GARDEN SHOPPING CENTER","14001 W COLONIAL DR","WINTER GARDEN","34787","","28.55253028869629","-81.59403991699219","ROOFTOP","1","commercial"
"282112909300010","247","APK","WEKIVA RIVER WALK SHOPPING CENTER","2121 E SEMORAN BLVD","APOPKA","32703","","28.67512321472168","-81.47022247314453","ROOFTOP","1","commercial"
"282421000000027","246","LBV","BEST WESTERN RESORT","2000 HOTEL PLAZA BLVD","LAKE BUENA VISTA","32830","","28.37837028503418","-81.50858306884766","ROOFTOP","1","commercial"
"292403636403003","246","ORG","FREEMAN DECORATING","2200 CONSULATE DR","ORLANDO","32837","","28.427446365356445","-81.40784454345703","ROOFTOP","1","commercial"
"292317546500040","245","ORL","MALL AT MILLENIA - BLOOMINGDALES","4152 CONROY RD","ORLANDO","32839","","28.487442016601562","-81.42869567871094","RANGE_INTERPOLATED","1","commercial"
"292235638401000","245","ORL","ORLANDO REGIONAL HEALTHCARE","119 W STURTEVANT ST","ORLANDO","32806","","28.525188446044922","-81.38084411621094","ROOFTOP","1","commercial"
"272411000000012","244","BAY","POLYNESIAN TIMESHARE & BUNGALOW PROPERTY","WORLD DR","BAY LAKE","32830","","28.396581649780273","-81.57769775390625","GEOMETRIC_CENTER","1","commercial"
"292411738000010","244","ORG","","10400 ROCKET CT","ORLANDO","32824","","28.416608810424805","-81.38522338867188","ROOFTOP","1","commercial"
"282124895300010","242","APK","WAL-MART SUPER CENTER","1700 ORANGE BLOSSOM TRL","APOPKA","32703","","28.650354385375977","-81.4690933227539","ROOFTOP","0","commercial"
"292335184500040","242","ORG","OWENS & MINOR","301 GILLS DR","ORLANDO","32824","","28.44223403930664","-81.38014221191406","ROOFTOP","1","commercial"
"292236123300040","242","ORL","G A I   CONSULTANTS","618 E SOUTH ST","ORLANDO","32801","","28.538467407226562","-81.36882019042969","RANGE_INTERPOLATED","1","commercial"
"312210000000024","242","ORG","UNIVERSITY HOUSE","3200 N ALAFAYA TRL","ORLANDO","32826","","28.585792541503906","-81.20889282226562","ROOFTOP","1","commercial"
"292410123400340","242","ORG","ART & FRAME DIRECT","11423 SATELLITE BLVD","ORLANDO","32837","","28.401498794555664","-81.4002914428711","ROOFTOP","1","commercial"
"292225820800041","242","ORL","LANDMARK CTR II OFFICE BLDG","225 E ROBINSON ST","ORLANDO","32801","","28.54610252380371","-81.37458038330078","ROOFTOP","1","commercial"
"312221895000010","242","ORG","WAL-MART SUPERCENTER","11250 E COLONIAL DR","ORLANDO","32817","","28.56627655029297","-81.21793365478516","ROOFTOP","1","commercial"
"292406307701000","241","ORG","THE DISTRICT","9702 UNIVERSAL BLVD","ORLANDO","32819","","28.430025100708008","-81.44755554199219","ROOFTOP","1","commercial"
"302328793900020","241","ORL","HILTON DOUBLETREE","5555 HAZELTINE NATIONAL DR","ORLANDO","32812","","28.46389389038086","-81.31119537353516","ROOFTOP","1","commercial"
"282417000000016","240","LBV","WDW - TOOLING/FOODS WAREHOUSES","WINTER GARDEN VINELAND RD","LAKE BUENA VISTA","32830","","28.467647552490234","-81.5611572265625","GEOMETRIC_CENTER","1","commercial"
"302323305000090","240","ORL","WALMART-SUPER CENTER","5991 S GOLDENROD RD","ORLANDO","32822","","28.473772048950195","-81.28688049316406","ROOFTOP","0","commercial"
"292404950001000","239","ORG","CONNECTIONS AN OPTUM COMPANY","S JOHN YOUNG PKWY","ORLANDO","32819","","28.436521530151367","-81.41844940185547","GEOMETRIC_CENTER","1","commercial"
"282422513000020","239","ORG","SPRINGHILL SUITES AT MARRIOTT VILLAGE","8601 VINELAND AVE","ORLANDO","32821","","28.37787437438965","-81.50186157226562","ROOFTOP","1","commercial"
"292226735223010","238","ORL","FIRST PRESBYTERIAN CHURCH","106 E CHURCH ST","ORLANDO","32801","","28.539812088012695","-81.3768081665039","ROOFTOP","1","commercial"
"292404640101020","237","ORG","KELLOGG DISTRIBUTOR","2351 INVESTORS ROW","ORLANDO","32837","","28.424041748046875","-81.41218566894531","ROOFTOP","1","commercial"
"292415123800001","237","ORG","FOAMEX","1351 GEMINI BLVD","ORLANDO","32837","","28.404552459716797","-81.39540100097656","ROOFTOP","1","commercial"
"312210124008010","237","ORG","","3100 TECHNOLOGY PKWY","ORLANDO","32826","","28.585973739624023","-81.1996078491211","ROOFTOP","1","commercial"
"312203727100010","235","ORG","WESTINGHOUSE SIEMENS QUAD II","11950 CORPORATE BLVD","ORLANDO","32817","","28.607189178466797","-81.21168518066406","ROOFTOP","1","commercial"
"292407795900012","235","ORG","SPRINGHILL SUITES/FAIRFIELD INN","10815 INTERNATIONAL DR","ORLANDO","32821","","28.407962799072266","-81.45430755615234","ROOFTOP","1","commercial"
"312204727200010","234","ORG","SIEMENS BLDG","11842 CORPORATE BLVD","ORLANDO","32817","","28.605154037475586","-81.21452331542969","ROOFTOP","1","commercial"
"292319278700010","234","ORL","OUTLET MARKETPLACE","5201 INTERNATIONAL DR","ORLANDO","32819","","28.468080520629883","-81.45228576660156","ROOFTOP","1","commercial"
"292216289100010","233","ORL","FRITO-LAY ORLANDO FACILITY","2800 SILVER STAR RD","ORLANDO","32808","","28.577180862426758","-81.41791534423828","ROOFTOP","1","commercial"
"292302813705000","232","ORL","SODO PARKING GARAGE / BLDG 'A' RETAIL","45 W CRYSTAL LAKE ST","ORLANDO","32806","","28.515216827392578","-81.37882232666016","ROOFTOP","1","commercial"
"282325278100010","232","ORL","WESTGATE PALACE","6145 CARRIER DR","ORLANDO","32819","","28.45669174194336","-81.46562957763672","ROOFTOP","1","commercial"
